,0
0,3122710.726382056
1,2848521.3379472727
2,2779181.3471532934
3,3210798.93863829
4,3061207.7245661053
5,2835059.5809030896
6,3371636.285003077
7,4134980.115499167
8,4301889.264967946
9,3853877.586544656
10,3050992.2066237335
11,2838941.652756946
12,2610220.4320310727
13,2784965.081209836
14,2586224.476996781
15,3125307.6280689496
16,2912013.7067581234
17,2610363.5024123844
18,3074580.508880977
19,4202942.590864245
20,4367268.000254737
21,3836593.8929790175
22,3115504.179159645
23,2740324.3041416025
24,2538248.499736333
25,2665168.7126069833
26,2544457.756076524
27,3098801.5475206645
28,2895851.30411659
29,2663339.8408069806
30,3280012.0634082975
31,4028401.6639523003
32,4457075.653342877
33,3434534.146184467
34,2728249.3120073928
35,2878231.850545498
36,2535374.3829850117
37,2826540.3456044816
38,2553788.41467422
39,3230504.2365469015
40,2841781.286036853
41,2506887.220184897
42,2936858.047361929
43,4155679.813415097
44,4376039.978409273
45,3250069.204125014
46,2961886.840238591
47,2672657.064355205
48,2848445.6575789247
49,2611449.4658449832
50,2747742.3917614636
51,3124921.9734161976
52,2999011.059041947
53,2662378.383482678
54,3059677.574947344
55,4083017.7375881257
56,4470394.352725092
57,3656129.5147634665
58,2763292.3101226585
59,2907370.5947532565
60,2685661.6514963955
61,2674518.6115557454
62,2426352.962233948
63,3131501.177090497
64,2959819.878312381
65,2425042.140576075
66,2987180.607524878
67,4057985.7942224587
68,4201147.939911237
69,3697514.59923835
70,3117622.95719335
71,2746392.976925319
72,2378398.328968362
73,2802282.1887010275
74,2739946.102931274
75,3007006.5393424276
76,2832595.969994078
77,2564461.171950492
78,3258973.8853361565
79,3568129.477453233
80,4319353.187730544
81,3645224.9440459665
82,3159803.816891783
83,2316028.517900735
84,2728995.0528957285
85,2876619.3690210795
86,2673592.7239191923
87,2939466.1176232286
88,3019019.657919197
89,2687826.504036848
90,3146520.7420219425
91,3934495.923826983
92,4194704.28360682
93,3199551.8287063185
94,3102041.3865092797
95,2782112.175843154
96,2577872.5827827523
97,2632085.129714059
98,2627765.573915477
99,3391440.356102711
100,3580331.463764857
101,3559297.6116266428
102,3301404.7213607244
103,3099405.768577111
104,3093363.031717037
105,3109819.3903803537
106,3118900.0680187396
107,3121992.894458469
108,3122709.4594468484
109,3122779.63750213
110,3122746.422351076
111,3122722.4751183223
112,3122713.331997723
113,3122710.93287814
114,3122710.5804687673
115,3122710.631047379
116,3122710.691309004
117,3122710.7175155897
118,3122710.725203954
119,3122710.726633148
120,3122710.726625844
121,3122710.7264835704
122,3122710.726410834
123,3122710.7263870738
124,3122710.7263818574
125,3122710.726381467
126,3122710.7263817713
127,3122710.726381966
128,3122710.726382037
129,3122710.726382055
130,3122710.726382057
131,3122710.7263820567
132,3122710.7263820563
133,3122710.726382056
134,3122710.726382056
135,3122710.726382056
136,3122710.726382056
137,3122710.726382056
138,3122710.726382056
139,3122710.726382056
140,3122710.726382056
141,3122710.726382056
142,3122710.726382056
143,3122710.726382056
144,3122710.726382056
145,3122710.726382056
146,3122710.726382056
147,3122710.726382056
148,3122710.726382056
149,3122710.726382056
150,3122710.726382056
151,3122710.726382056
152,3122710.726382056
153,3122710.726382056
154,3122710.726382056
155,3122710.726382056
156,3122710.726382056
157,3122710.726382056
158,3122710.726382056
